,GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
10,2562,100239306,1.0,2.5,3.8410714285714285,1.0,2.0,3.0,3.0,3.0,4.0,3.8441176470588236,3.0,3.5,2.5,1.0,3.0,2.5,2.453405017921147,2.0,1.5,2.0,2.0,1.5,2.0,2.5,2.5,2.5,2.5,2.9770408163265305,3.0,3.0,2.4
11,2563,100239308,0.0,2.0,3.8410714285714285,3.0,1.0,2.5,1.5,2.5,3.5,3.8441176470588236,2.5,3.5,1.0,2.5,2.5,1.0,2.453405017921147,2.0,0.0,2.0,1.0,1.5,1.0,1.0,2.5,2.0,2.5,2.9770408163265305,3.0,2.0,2.14
12,2562,100239321,1.0,2.0,3.8410714285714285,2.5,2.0,2.5,2.5,2.0,3.0,3.8441176470588236,2.0,4.0,2.5,1.5,2.5,3.5,2.453405017921147,2.0,4.0,2.0,2.0,0.0,2.0,1.5,2.0,2.5,2.5,2.9770408163265305,3.0,2.0,2.45
13,2563,100239325,0.0,2.5,3.8410714285714285,1.5,2.0,3.0,1.5,2.5,4.0,3.8441176470588236,1.5,2.0,1.0,1.0,2.0,2.0,2.453405017921147,2.0,1.0,2.0,2.0,2.0,1.5,1.5,3.0,2.8112745098039214,1.5,2.9770408163265305,3.5,2.5,2.01
14,2562,100239333,2.5,3.0,3.8410714285714285,3.5,3.5,2.5,2.9541284403669725,3.0,3.5,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.453405017921147,2.0,4.0,2.0,2.5,2.5,1.5,2.0,2.5,3.5,3.0,2.9770408163265305,3.5,2.5,2.88
15,2562,100239381,1.0,2.5,3.8410714285714285,1.5,2.0,3.0,2.9541284403669725,2.5,3.0,3.5,2.5,3.5,2.5,2.5,2.0,2.5,2.453405017921147,2.0,1.0,3.5,2.0,1.5,1.5,2.0,3.0,2.0,2.5,2.9770408163265305,2.5,3.0,2.27
16,2562,100239418,1.5,2.5,3.8410714285714285,1.5,2.0,3.5,2.5,3.0,4.0,3.8441176470588236,3.0,4.0,3.0,1.5,3.5,3.0,2.453405017921147,2.0,3.0,1.5,2.0,1.5,2.0,2.5,2.5,3.0,2.5,2.9770408163265305,4.0,3.0,2.64
17,2562,100239446,1.5,3.5,3.8410714285714285,1.5,2.5,3.5,2.9541284403669725,2.0,3.5,4.0,2.0,4.0,2.0,2.5,3.5,3.5,2.453405017921147,2.0,3.5,2.5,3.0,4.0,2.0,1.5,2.5,2.8112745098039214,2.0,2.9770408163265305,3.5,3.0,2.7
18,2562,100239462,2.0,2.5,3.8410714285714285,2.0,2.0,2.5,2.0,2.5,3.0,3.8441176470588236,2.5,4.0,1.5,1.0,1.5,2.5,2.453405017921147,2.0,2.0,2.5,1.5,2.0,1.0,1.5,1.5,2.8112745098039214,1.5,2.9770408163265305,3.0,2.0,2.18
19,2562,100239469,1.5,3.5,3.8410714285714285,1.5,2.0,2.5,2.9541284403669725,2.5,3.5,4.0,2.5,3.5,3.0,2.5,3.5,2.5,2.453405017921147,2.0,2.0,1.5,4.0,3.0,2.0,2.5,4.0,2.8112745098039214,3.0,2.9770408163265305,3.5,3.5,2.75
20,2563,100239473,2.5,2.5,3.8410714285714285,0.0,1.0,2.5,2.9541284403669725,2.5,3.0,3.0,2.5,2.5,1.5,1.0,1.5,1.5,2.453405017921147,2.0,1.0,2.0,1.0,1.0,1.0,1.5,1.5,2.8112745098039214,2.0,2.9770408163265305,2.5,2.0,2.0
21,2562,100239479,1.5,2.5,3.8410714285714285,2.0,2.0,3.0,3.5,2.5,3.5,3.8441176470588236,2.0,4.0,2.0,1.0,3.0,2.5,2.453405017921147,2.0,3.0,2.0,2.5,2.5,2.0,2.0,3.0,2.0,3.0,2.9770408163265305,2.5,4.0,2.49
22,2565,100239502,1.0,2.5,3.8410714285714285,0.0,0.0,3.0,2.9541284403669725,2.5,3.0,3.5,1.5,4.0,0.0,1.0,2.0,1.0,2.453405017921147,2.0,0.0,3.5,1.0,2.0,1.0,2.5,2.5232558139534884,2.0,1.5,2.9770408163265305,1.5,1.5,2.08
23,2563,100239505,0.0,3.0,3.8410714285714285,1.5,2.0,2.5,2.9541284403669725,2.5,3.0,4.0,2.0,4.0,3.0,1.5,3.5,2.0,2.453405017921147,2.0,2.0,2.0,2.0,2.5,2.0,1.0,2.5,3.0,3.5,2.9770408163265305,4.0,3.0,2.6
24,2562,100239535,1.0,2.5,3.8410714285714285,1.5,2.0,3.0,3.5,3.5,3.5,3.8441176470588236,1.5,4.0,2.5,1.5,3.0,3.0,2.453405017921147,2.0,1.0,2.0,1.5,1.0,2.0,2.5,3.0,3.0,3.0,2.9770408163265305,3.5,3.0,2.39
25,2562,100239556,0.0,4.0,3.8410714285714285,1.5,2.5,3.0,3.0,2.5,3.5,3.8441176470588236,3.0,3.0,1.5,2.0,2.5,2.0,2.453405017921147,2.5,1.5,2.5,2.0,3.5,2.0,3.0,3.5,3.5,2.0,2.9770408163265305,3.5,2.5,2.51
26,2562,100239593,0.0,4.0,3.8410714285714285,1.5,4.0,3.5,3.0,2.0,4.0,3.8441176470588236,2.5,4.0,3.5,4.0,3.0,3.5,2.453405017921147,2.5,1.5,2.5,0.0,1.0,0.0,1.5,2.0,3.5,3.5,2.9770408163265305,3.0,2.5,2.47
27,2562,100239596,1.5,3.5,3.8410714285714285,1.5,3.0,2.5,3.0,3.0,4.0,3.8441176470588236,2.0,3.0,2.0,1.5,3.0,2.5,2.453405017921147,2.5,3.5,2.0,2.5,3.5,1.5,2.0,2.5,2.8112745098039214,2.5,2.9770408163265305,3.0,3.0,2.59
28,2562,100239598,1.0,3.5,3.8410714285714285,1.5,3.0,3.0,2.9541284403669725,2.5,4.0,4.0,2.5,4.0,3.5,2.5,4.0,3.0,2.453405017921147,2.5,3.0,2.5,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.9770408163265305,3.5,4.0,3.07
29,2562,100239606,1.5,2.0,3.8410714285714285,0.0,1.0,3.0,2.9541284403669725,2.5,3.0,4.0,2.5,2.0,1.5,1.0,1.0,1.5,2.453405017921147,2.0,1.0,2.0,1.5,2.0,1.5,1.0,2.5,2.8112745098039214,2.5,2.9770408163265305,3.0,1.0,2.01
30,2562,100239620,1.5,3.0,3.8410714285714285,1.5,2.5,2.5,2.9541284403669725,2.5,3.5,4.0,3.0,4.0,1.5,2.5,4.0,2.5,2.453405017921147,2.5,2.5,2.0,2.0,3.0,2.0,2.0,3.5,3.0,2.5,2.9770408163265305,3.5,3.5,2.8
31,2562,100239626,0.0,3.5,3.8410714285714285,1.0,2.0,3.0,3.0,2.5,3.5,3.8441176470588236,2.0,2.0,1.5,1.5,3.0,3.0,2.453405017921147,2.0,2.0,1.0,2.0,2.5,1.5,1.5,3.0,2.8112745098039214,1.5,2.9770408163265305,3.5,3.5,2.27
32,2562,100239666,1.5,2.5,3.8410714285714285,1.5,2.0,3.0,3.0,2.0,3.5,3.8441176470588236,2.5,2.5,1.5,2.0,2.5,3.0,2.453405017921147,2.0,4.0,1.5,2.0,3.0,2.0,1.5,3.5,2.8112745098039214,2.0,2.9770408163265305,3.5,3.5,2.49
33,2562,100239667,2.0,4.0,3.8410714285714285,2.0,4.0,3.0,2.9541284403669725,2.5,3.5,3.5,2.5,3.5,1.5,1.0,3.0,2.0,2.453405017921147,2.0,1.5,2.0,2.5,3.0,2.0,1.5,2.5,3.5,3.0,2.9770408163265305,3.5,3.0,2.44
