GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,DataScience,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,EnergyAndTechnologyAroundUs,FundamentalEnglish,FundamentalLawsForQualityOfLife,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LifeAndHealth,LifePrivacy,MultimediaApplicationDevelopment,MusicStudiesInThaiCulture,ProgrammingLanguages,Seminar,SpecialTopicsInComputerScience,SystemAnalysisAndDesign,GPAgraduate
2565,100270815,2,4,4,1.5,4,3,2.95412844,2.507936508,3,3.844117647,3,3,4,4,2,2.5,2.5,2.5,2,3,2.5,1.5,2,4,2.523255814,3.5,4,3.5,4,2.5,3,2.680645161,4,3,3,3.295,3,2.971590909,2.5,4,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,2.34375,3.5,2.858208955,2.5,2.78
2565,100270818,2.5,2,4,1.5,2,2.5,2.95412844,2.507936508,3,3.844117647,2.5,2,3.5,4,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,3,3.5,3.5,4,3,4,4,3.5,3,3.5,3,2.861111111,3.120481928,3.295,2,2.5,2.5,3,2.805882353,3.458333333,3,3.303571429,3.416666667,2.34375,4,2.858208955,2.5,2.72
2565,100270829,3,3,4,3,3,2.5,2.95412844,2.507936508,3,3.844117647,3,4,4,3,3,2.5,3,2.5,3,4,4,2,3,3.5,3.5,3,4,2.977040816,4,4,4,4,4,2.861111111,3.120481928,3.295,4,2.971590909,1.5,4,2.805882353,3.458333333,3.421875,4,3.416666667,2.34375,4,2.858208955,3,3.14
2565,100270830,3,2,4,3,3.5,2.5,2.95412844,2.507936508,3,4,2.5,2,4,2.5,3,2,2.5,2.5,2.5,3,2.5,2,2,2.5,2.523255814,3.5,2.773764259,2.977040816,3.5,2,2,2.680645161,3.5,2,3,4,2,2.971590909,1,2.838709677,2.805882353,3.458333333,3.421875,3,3.416666667,2.34375,4,2.858208955,2.5,2.7
2565,100270831,3.5,3.5,3.5,1.733918129,2,3,2.95412844,2.507936508,3,4,3,2.5,2,2,3,2,3.5,2.5,2.5,3,1.5,1.5,1.5,2.5,2.523255814,3,3,1.5,3.5,2,2,2.680645161,2.5,2,3.5,4,2.5,2.971590909,1,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,2.34375,2.5,2.858208955,1.5,2.54
2565,100270833,2.5,1.5,3.5,1.5,2,2.5,2.95412844,2.507936508,3,4,2.5,2,2,2.5,3,1.5,2,2.5,1.5,2.5,3,2.5,2.5,2.5,3,2.5,3,2.5,4,3.5,3,3,2.5,2.861111111,3.120481928,3.295,2,2.971590909,2,2.838709677,2.805882353,3.458333333,3.421875,3.5,4,2.34375,4,3,2.5,2.58
2565,100270836,3,3.5,4,2.5,4,3,2.95412844,2.507936508,3,3.5,2.5,1.5,2.5,2.5,3,1,2.5,2,2,2,2,3,1,2.5,2,4,3.5,1.5,3.5,1,1,2.680645161,2.5,2.861111111,2.5,3.295,1.5,2.5,1,2,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,2.34375,3,2.858208955,1.5,2.33
2565,100270839,2.5,2.5,4,2,4,2.5,3.5,2.507936508,3,4,3,2.5,3.5,2.5,2.5,2,3,3,2,4,4,2,4,4,2.523255814,2.81127451,4,2.977040816,4,4,3.5,4,4,3,3.5,3.295,2.5,2.971590909,3.5,3.5,2.805882353,3.458333333,3.421875,4,4,2.34375,4,4,3.5,3.22
2565,100270848,3,3,4,2.5,4,3,4,2.507936508,4,4,4,3.5,4,3.5,4,3,4,3,2.5,4,4,2.5,3.5,3.5,2.523255814,2.81127451,4,2.977040816,4,4,4,3.5,4,4,4,3.295,3.5,2.971590909,4,4,2.805882353,3.458333333,3.421875,4,4,2.34375,4,4,4,3.6
2565,100270877,2.5,3.5,3.5,3,3,3,2.95412844,2.507936508,3,3.844117647,3.5,2.5,4,3.5,2.5,2.5,2.5,2.5,2.5,4,4,1.5,2.5,3,4,4,4,2.977040816,4,4,4,4,4,2.861111111,3.120481928,3.295,2.5,2.971590909,1.5,3.5,2.805882353,3.458333333,3.421875,4,3.416666667,2.34375,4,2.858208955,3,3.08
2565,100270887,2.5,2.5,4,1.5,1.5,2,2.95412844,2.507936508,3,3.844117647,2.5,2,2,1.5,2,2,1.5,2.5,2.5,2,2.5,2.5,3,3.5,3,3,3,4,3.5,3.5,3,3,3.5,2.861111111,3.120481928,3.295,2,2.971590909,3,2.5,2.805882353,3.458333333,3,3.303571429,3.416666667,2.34375,4,2.858208955,2.5,2.52
2565,100270888,2.5,2.5,3.5,1.5,2,2,2.95412844,2.507936508,3,4,3,2,2,2,2,2,1.5,2.5,1,2,2,1.5,2,2,2,3.5,3,2.977040816,2.5,2,2,2.680645161,2,2.861111111,3.120481928,3.295,2,2.971590909,1.5,3.5,2.805882353,3.458333333,3.421875,3.5,3.416666667,2.34375,3.5,2,3,2.34
2565,100270897,2,2.5,4,1,2.5,2,2.95412844,2.507936508,3,3.844117647,3.5,2,2,2,2.5,1,1,2.5,1,2.5,2.5,2,1.5,3,2,2,3,2.977040816,2.5,2,3,2.680645161,3,2.861111111,3.120481928,3.295,2,2.971590909,1,3,2.805882353,3.458333333,3.421875,3,3,2.34375,3.5,2.858208955,1.5,2.23
2566,100270900,1.5,2.5,4,1.5,1,2.5,2.95412844,2.507936508,3,4,3,2,2.5,2,2,1.5,1.5,3,1,2.5,4,0,3.5,3,2.5,2,3,2,4,3.5,3,2.5,2.5,2,3.120481928,3.295,2,2.971590909,1.5,4,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,2.34375,2.5,2.858208955,2.5,2.34
2566,100270908,3,1,4,0,1.5,3,2.95412844,2.507936508,3,3.844117647,3,2,2,1,2.5,1,1.5,2,0,2,2,1.5,2.5,2,2.523255814,3.5,3,2.977040816,4,3,2,2.680645161,3,2.861111111,2.5,3.295,2,2.971590909,1.5,2.838709677,2.805882353,3.458333333,3.421875,3.5,3.416666667,2.34375,4,2,2,2.28
2565,100270912,2.5,2,4,0,3.5,2.5,2.95412844,2.507936508,2.5,3.844117647,2.5,2,3.5,1.5,3,2,1.5,2.5,1.5,3,4,1.5,2.5,3.5,2.523255814,3,4,3.5,4,3,2.5,3,2,2,3,3.295,2,2.971590909,4,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,2.34375,4,3,2.5,2.63
