GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,DataScience,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,EnergyAndTechnologyAroundUs,FundamentalEnglish,FundamentalLawsForQualityOfLife,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LifeAndHealth,LifePrivacy,MultimediaApplicationDevelopment,MusicStudiesInThaiCulture,ProgrammingLanguages,Seminar,SpecialTopicsInComputerScience,SystemAnalysisAndDesign,GPAgraduate
2563,100239844,0,2.5,3.841071429,0,1,3,2.95412844,2,3.5,1.5,0,3,1.5,1,3.5,2,2.453405018,2.5,1,2,2,2.5,1,1.5,2.5,2.81127451,2,2.977040816,3,2.5,2.5,2.680645161,2,2.861111111,3.120481928,3,3,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3,3,2,2,1.5,2.17
2562,100239854,1.5,2.5,3.841071429,0,2,3,2.95412844,2.5,3,2.5,2.5,3.5,1.5,1.5,2.5,2.5,2.453405018,2,1.5,3,2,2,2,2.5,2.5,2.5,2.5,2.977040816,1.5,2.5,2.5,2.680645161,3.5,2.861111111,3.120481928,3,3.5,3,2.553191489,2.838709677,1.5,3.458333333,3.421875,3.303571429,4,3,4,2.858208955,3,2.36
2562,100239887,4,4,3.841071429,4,4,3.5,3.5,2.5,4,3.844117647,2.5,4,4,4,4,4,2.453405018,4,4,4,4,4,4,4,4,4,4,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,3.5,4,3,2.553191489,2.838709677,4,3.458333333,3.421875,3.303571429,3.416666667,4,4,4,4,3.78
2562,100239895,1.5,2.5,3.841071429,2,2,2.5,2,2.5,3.5,3.844117647,2,2.5,3.5,2.5,1.5,3,2.453405018,1.5,2.5,2,2.5,1.5,2,2.5,2.5,2.5,2,2.977040816,2.5,2.5,2,2.680645161,3,2.861111111,3.120481928,3,2.5,3,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.303571429,3.416666667,3,3,2.858208955,2,2.29
2564,100239901,0,2,3.841071429,0,0,3,2.95412844,2,3.5,3.5,2,1.5,1.5,1,1,1.5,2.453405018,2,0,2,1,1,1,2,1.5,2,1.5,2.977040816,1.5,2.5,1.5,2.680645161,3,2.861111111,3.120481928,2.5,1.5,2,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3,3,1.5,2.858208955,2,2.03
2562,100239902,1.5,2.5,3.841071429,1,3.5,2.5,2.5,2.5,2.5,3.844117647,1.5,3,2.5,2.5,2,2.5,2.453405018,4,1.5,2,2,3,2,3.5,4,3,3,2.977040816,4,3.5,2.5,2.680645161,3.5,2.861111111,3.120481928,3,3,3.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,3,3,3,3.5,2.55
2562,100239914,1,2.5,3.841071429,1.5,2,2.5,2.95412844,2.5,3.5,4,3.5,2,2,1,1.5,3,2.453405018,2,2.5,1.5,2,2.5,2,2,3,2,2,2.977040816,1.5,2.5,2,2.680645161,4,2.861111111,3.120481928,3,2,1.5,2.553191489,2.838709677,2.5,3.458333333,3.421875,3.303571429,3,3,4,2.858208955,3,2.28
2562,100239934,1.5,4,3.841071429,1.5,3.5,3,3,2.5,3.5,3.844117647,2.5,2.5,3,2,2.5,2.5,2.453405018,2.5,2,1.5,2.5,1.5,2,2.5,2,4,2.5,2.977040816,2,2.5,2.5,2.680645161,3.5,2.861111111,3.120481928,3,2.5,3,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3.303571429,3.416666667,3,3,2.858208955,2.5,2.39
2566,100239968,1.5,2.5,3.841071429,1,2,3,2.95412844,3,3.5,4,2,2,2,3,0,2.5,2.453405018,2.5,1.5,2,2,2,1.5,1,2,2.81127451,1,2.977040816,1,1,1,2.680645161,2,2.861111111,3.120481928,3.5,2,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.416666667,1.5,3,2.858208955,1.5,2.01
2563,100239990,0,1.5,3.841071429,0,2,2.5,1.5,2,3.5,3.5,2,3,2,1,1.5,2.5,2.453405018,2,1.5,1.5,1,1.5,0,2,2.5,2.81127451,2.5,2.977040816,4,2.5,4,2.680645161,3,2.861111111,3.120481928,3,3,2,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.416666667,2,2.5,2.5,3,2.15
2562,100240018,1,2.5,3.841071429,1,2,3,2.95412844,2.5,3.5,4,3,2.5,2,1,1,2,2.453405018,2,2,3,2,1.5,1.5,1.5,2.5,2.81127451,2.5,2.977040816,2.5,3,2,2.680645161,1.5,2.861111111,3.120481928,3.5,2.5,2.5,2.553191489,2.838709677,3.5,3.458333333,3.421875,3,3.416666667,2.5,3,2.858208955,2,2.19
2562,100240030,2.5,3.5,3.841071429,2,4,3.5,2,2.5,4,3.844117647,2.5,4,4,2,3.5,3.5,2.453405018,2,2.5,2.5,4,3.5,2,3.5,3,4,3.5,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,3,4,3.5,2.553191489,2.838709677,4,3.458333333,3.421875,3.303571429,3.416666667,3.5,3.5,4,3.5,3.08
2562,100240059,2.5,4,3.841071429,2,4,3.5,2.95412844,2.5,4,4,3,3.5,4,4,3.5,3.5,2.453405018,2.5,3,2.5,3.5,3.5,2,3,2.5,3.5,3.5,2.977040816,3.5,3,3.5,2.680645161,4,2.861111111,3.120481928,4,3.5,4,2.553191489,2.838709677,3,3.458333333,3.421875,3.303571429,4,3,4,2.5,4,3.25
2562,100240060,1.5,2.5,3.841071429,1.5,3.5,3,2,2.5,3.5,3.844117647,2,4,3,1,2,3,2.453405018,2,3.5,3,1,2,1.5,1.5,2.5,2,2,2.977040816,4,4,2.5,2.680645161,4,2.861111111,3.120481928,3,4,2.5,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,4,2,3,2.858208955,2,2.36
2562,100240078,2,2.5,3.841071429,1,2,3,4,2.5,3.5,3.844117647,2.5,2,3,2.5,2.5,3,2.453405018,2,1.5,1,3,3,1.5,2.5,2.5,2.5,1.5,2.977040816,3,3,3,2.680645161,2.5,2.861111111,3.120481928,3.5,2,2.5,2.553191489,2.838709677,2,3.458333333,3.421875,2.5,3.416666667,1.5,4,3.5,2,2.38
2562,100240098,1,2,3.841071429,1,1,3,2.95412844,2,3,2.5,2.5,3.5,2,1.5,1,3,2.453405018,2,2,3.5,2,1.5,2,2,2.5,2.81127451,2,2.977040816,4,3.5,3,2.680645161,4,2.861111111,3.120481928,3.5,3.5,2,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.5,2,2.5,3.5,2.858208955,2,2.32
2562,100240108,2,2,3.841071429,1,2,2.5,2.95412844,2,3,3.5,2.5,2.5,2.5,1.5,1.5,3,2.453405018,2.5,2,2,2,2,2,1,2.5,2.81127451,2.5,2.977040816,2.5,3,2.5,2.680645161,3,2.861111111,3.120481928,2,2.5,2.5,2.553191489,2.838709677,4,3.458333333,3.421875,3.5,3.5,2,3.5,2.858208955,2,2.28
2563,100248951,1,3,4,1,3.5,2.5,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,3,2.5,2,1,1,2,3.5,1,2,2,2.5,1.5,3,2,3,2.773764259,2.977040816,1.5,4,2.5,2.680645161,3.5,1.5,3.120481928,3.295,3,2.971590909,1.5,3.5,2.805882353,3.458333333,3.5,4,3.416666667,2.34375,4,2.858208955,2.5,2.41
2563,100248958,1,4,3.5,2,2.5,2,2.5,2.507936508,3.5,3.844117647,2.532258065,2,3.5,2,3.5,2.5,2.5,3,1,2,3,2.5,2,3,3,2,2.773764259,2,1.5,2.5,2.5,1.5,2,2,3.120481928,3.295,2,4,2.5,2.5,3,3.458333333,3.421875,3,3.5,2.34375,3.5,2.858208955,3.5,2.49
2563,100248986,1.5,3,3.5,0,3,3,3,2.507936508,3.60326087,3.844117647,3.5,2.5,2.5,2,3.5,3,3,3,1.5,2,3.5,3,2,3.5,2.5,2.81127451,2.773764259,3,2.5,3,3,3,2.5,2.861111111,3.120481928,4,2.5,4,3,3.5,2.5,3.458333333,3.421875,3.303571429,3.416666667,2.34375,4,2.858208955,2.5,2.84
2564,100248988,1,3,4,1,2,2,2.95412844,2.507936508,3.60326087,4,3,2.5,2,1.5,1.5,2,2,2.5,1,2,2,2.5,0,2,2,2.81127451,2.773764259,2.5,3,3.5,1.5,2.5,2,2,3.120481928,3,2.5,2.971590909,2,2,3,3.458333333,3.421875,3,3.416666667,2.34375,4,2.858208955,2,2.12
2564,100248992,0,3.5,3.5,0,2.5,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,2,1,1,1,2,2.5,0,2,1.5,1,1.5,2,2,1,2.773764259,2.5,2.5,2.5,2.5,2,2,1,3.120481928,4,2,2.971590909,2.5,2,2,3.458333333,3.421875,3.5,3.5,2.34375,4,2.858208955,2,2.09
2563,100249007,1,4,4,3,4,2,2.5,2.507936508,3.60326087,3.844117647,2.5,2.5,2,2,2,3.5,3,3,1,2,1.5,2,2,3,3,1,2.773764259,2.977040816,2.5,2.5,2.5,1.5,3,2.861111111,3.120481928,3.5,2.5,2.971590909,3,2.5,2.805882353,3.458333333,3.421875,3,3.416666667,2.34375,3,2.858208955,3,2.49
2564,100249009,1,2.5,3.5,2,2.5,2.5,2,2.507936508,3.60326087,3.844117647,2.5,2,2,1,1,2,2.5,2.5,1,1.5,1.5,1.5,1,2,2.5,1,2.773764259,2.977040816,2,1.5,2.5,1.5,2,2.861111111,3.120481928,3,2,2.971590909,2,2,2.805882353,3.458333333,3.421875,2.5,3.416666667,2.34375,3.5,2.858208955,2,2
2563,100249020,1.5,4,4,2,4,2.5,3,2.507936508,3.60326087,3.844117647,3,4,3.5,3,3,4,4,3.5,2.5,4,3,4,4,4,3.5,2.81127451,2.773764259,4,4,4,4,2.680645161,4,4,3.120481928,4,4,2.971590909,3.5,3,4,3.458333333,3.421875,4,3.416666667,2.34375,3.5,2.858208955,4,3.45
2563,100249022,1.5,2.5,4,1.5,2.5,2.5,2.95412844,2.507936508,3.60326087,4,2.5,2.5,3,1.5,3.5,2,3,3.5,1,2.5,2,2.5,2,4,2.5,2.5,2.773764259,3,2.5,3,3,2.5,3,4,3.120481928,3.295,2.5,2.971590909,4,2.5,3,3.458333333,3.421875,3.5,3.416666667,2.34375,4,2.858208955,4,2.71
2563,100249048,2,4,4,1,3,3,2.95412844,2.507936508,3.60326087,4,3.5,3,2,1.5,3,2.5,3,3.5,1,2,2.5,4,1,3,2,1.5,2.773764259,3.5,2.5,4,3,2.5,3,3,3.120481928,3.295,3,2.971590909,4,2,2,3.458333333,3.421875,3,3.416666667,2.34375,4,2.858208955,3.5,2.73
2563,100249055,1,4,2.5,1,2,2,2.95412844,2.507936508,3.60326087,4,2.5,2.5,2.5,1.5,2,1,3.5,2.5,1,2,2,2.5,0,2,2,2.81127451,2.773764259,2.5,2,3,2,2,1.5,3,3.120481928,3.5,2.5,2.971590909,1,1.5,2,3.458333333,3.421875,2.5,3.416666667,2.34375,4,2.858208955,2.5,2.1
2564,100249056,0,4,4,1.5,3,2.5,2.95412844,2.507936508,3.60326087,3.844117647,3,4,2,2,0,1,1,3,0,3,1,1.5,1,2,2.523255814,1.5,2.773764259,3,2.5,3,1.5,0,3.5,2.861111111,3.120481928,2.5,4,2.971590909,1,2,1,3.458333333,3.421875,1.5,3.416666667,2.34375,3,2.858208955,1,2.03
2563,100249069,2,3.5,4,0,3,2,2.95412844,2.507936508,3.60326087,3.844117647,1.5,1.5,2.5,2,4,2.5,2,2.5,1,2,2.5,1.5,1.5,2.5,2,2.81127451,2.773764259,4,2.5,3,2,3,1.5,3,3.120481928,3.5,1.5,2.971590909,2.5,2.5,3,3.458333333,3.421875,3.303571429,3.416666667,2.34375,2.5,2.858208955,2.5,2.38
2563,100249075,1.5,3.5,4,1.5,2.5,2,3,2.507936508,3.60326087,3.844117647,3,2,2,1,3,2,3,2,1,1.5,2,3,1.5,2.5,3,2.81127451,2.773764259,2.5,1.5,2.5,1.5,3,2,3.5,3.120481928,4,2,2.971590909,3,2.5,2,3.458333333,3.421875,3.303571429,3.416666667,2.34375,3.5,2.858208955,1.5,2.39
2563,100249085,2,4,4,2.5,4,3,2.95412844,2.507936508,3.60326087,4,2.5,4,4,2,4,3.5,4,4,2,4,3,4,2,4,3.5,4,2.773764259,4,4,4,4,4,4,4,3.120481928,3.295,4,2.971590909,4,4,4,3.458333333,3.421875,4,3.416666667,2.34375,4,2.858208955,4,3.53
2563,100249097,2,3.5,3.5,2.5,2.5,2,2.95412844,2.507936508,3.60326087,3.844117647,3,2,2.5,2,3.5,3,3.5,3,2.5,2,3,3,2,3.5,3,2.81127451,2.773764259,3,2,3.5,2.5,3.5,1.5,2.861111111,3.120481928,3.295,2,4,3,2.5,3,3.458333333,3.421875,3,3.416666667,2.34375,3.5,2.858208955,3,2.73
2563,100249098,1,2.5,4,1,2,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,3,2.5,1,2,1.5,2,2.5,0,2,2,2.5,1,3,2.5,2.5,2.773764259,2.977040816,2.5,3.5,3,2.680645161,3,2.861111111,3.120481928,3.295,3,2.971590909,2,2,2.805882353,3.458333333,2.5,3.5,3.416666667,2.34375,4,2.858208955,2.5,2.28
2564,100249112,1,3,4,1,1,2,2.95412844,2.507936508,3.60326087,3.844117647,2.5,2.5,2.5,1,2,1.5,2,2.5,1,2,1.5,1.5,1,2,2,2.81127451,2.773764259,2.977040816,1.5,2,2,2,2,2,3.120481928,4,2.5,2.971590909,1,2,2.805882353,3.458333333,3.421875,3,3.416666667,2.34375,2,2.858208955,1.5,2.03
2565,100249119,0,3,4,1,2.5,3,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2.5,1,1,0,1,1.5,2,0,2,1.5,3,0,2,2,2.81127451,2.773764259,2.977040816,1,2.5,1.5,1,3.5,1,3.120481928,3.295,2.5,2.971590909,1.5,3,2.805882353,3.458333333,3,2.5,3.416666667,2.34375,4,2.858208955,1,2.02
2563,100249141,2.5,4,4,3,4,3,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,3.5,4,4,4,3.5,4,2.5,2.5,2.5,3.5,4,2.5,3,2,4,2.773764259,3.5,3.5,4,3,2.680645161,4,4,3.120481928,3.295,3.5,2.971590909,4,4,4,3.458333333,4,4,3.416666667,2.34375,4,2.858208955,4,3.43
2564,100249157,2,1.5,3,2.5,2,2.5,2.95412844,2.507936508,3.60326087,4,2,1.5,2.5,1.5,3.5,2,2,2,1,2,1.5,1.5,0,2.5,2,2.81127451,2.773764259,2.977040816,2.5,3.5,2,2,2,3,3.120481928,4,1.5,2.971590909,1,3,2.805882353,3.458333333,3.421875,3,3.416666667,2.34375,3.5,2.858208955,2,2.2
2563,100249160,1.5,3,4,0,2.5,2.5,2.95412844,2.507936508,3.60326087,4,3,3.5,4,2,3,2.5,3,2.5,1,3,2,4,2,3.5,3,2,2.773764259,4,4,3.5,3.5,3.5,4,4,3.120481928,3.295,3.5,2.971590909,4,3,2.5,3.458333333,3.421875,4,3.416666667,2.34375,4,2.858208955,3,2.94
2563,100249183,1.5,3.5,4,2.5,4,2,2.5,2.507936508,3.60326087,3.5,2.532258065,2.5,2.5,2.5,4,2.5,3.5,2.5,2,3.5,3,3,2,2.5,2.5,2.81127451,2.773764259,4,3,3.5,1.5,4,2,3,3.120481928,2.5,2.5,2.971590909,2.5,2,3.5,3.458333333,3.421875,3.303571429,2.5,2.34375,3.5,2.858208955,3,2.72
2563,100249194,1.5,3,3.5,1.5,3,2.5,2.5,2.507936508,3.60326087,3.844117647,2.5,2,2.5,2,3,2.5,3,3,1,3,2.5,3,2,3,2.5,3,2.773764259,2.977040816,3,3.5,2,2.5,2.5,2.861111111,3.120481928,4,2,2.971590909,2.5,2.5,2.805882353,3.458333333,3.421875,3.5,3.416666667,2.34375,3.5,2.858208955,3.5,2.65
2565,100249197,1.5,3,3.5,2,2,2,3,2.507936508,3.60326087,3,2.532258065,2,2.5,2,1,1,2,3,0,2,2.5,1.5,1.5,2.5,3,2.81127451,2.773764259,2.977040816,1.5,1.5,2,1,1,2.861111111,3.120481928,3.295,2,2.971590909,1.5,2,2.805882353,3.458333333,3.421875,3.303571429,4,2.34375,3,2.858208955,3,2.22
2563,100249208,1.5,2,3.5,1,1,1.5,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,2,1.5,3.5,1,2,2.5,1,1,2,1.5,1.5,2.5,2.5,1.5,2.773764259,2.5,1,2,1,2.680645161,2,2.861111111,3.120481928,3.295,2,2.971590909,2,2,2,3.458333333,3,3.5,3.416666667,2.34375,2.5,2.858208955,2,2
2563,100249213,1,2,4,1.5,2,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,2,1,3,1.5,2.5,2.5,1.5,1.5,2,2,1,3,3.5,2,2.773764259,2.5,3,2.5,1.5,2.680645161,2,2.5,3.120481928,3.295,2,2.971590909,1.5,2,1.5,3.458333333,3,4,3.416666667,2.34375,3.5,2.858208955,2.5,2.17
2563,100249214,2.5,2.5,4,2,3,2.5,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,3,3,2.5,4,2.5,3,2,2,2.5,2.5,3.5,2,4,2.5,3,2.773764259,2.977040816,2.5,4,2,2.680645161,2.5,3.5,3.120481928,3.295,3,2.971590909,4,3.5,2.805882353,3.458333333,3.421875,4,3.416666667,2.34375,3.5,2.858208955,3,3.08
2565,100249231,0,4,4,2.5,3.5,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,2.5,2.5,1,2,2.5,2,1,1.5,2,3,1.5,2.5,2,3,2.773764259,2.5,1.5,3,2.5,2,3,2.861111111,3.120481928,3.295,2,2.971590909,1.5,2.5,3,3.458333333,3.5,3,3.416666667,2.34375,4,2.858208955,2,2.44
2563,100249235,2,3.5,4,3,3.5,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,3,2,4,3,3.5,2,1.5,1.5,2.5,3,2,3,3,3.5,2.773764259,3,2.5,3,1.5,2.680645161,2,3,3.120481928,3.295,2,2.971590909,4,2,2.5,3.458333333,3.5,3.5,3.416666667,2.34375,3.5,2.858208955,3.5,2.75
2563,100249262,1,4,3.5,2,4,2,2.95412844,2.507936508,3.60326087,3.844117647,2.5,3,3,2,3.5,2,2.5,2.5,1,2.5,2,3,2,3,2.5,3,2.773764259,2.977040816,4,4,3.5,3,3,2.861111111,3.120481928,4,3,2.971590909,2.5,3,2.805882353,3.458333333,3.421875,3.5,3.416666667,2.34375,3,2.858208955,2.5,2.71
2563,100249265,1.5,4,4,2.5,3.5,3,2.95412844,2.507936508,3.60326087,4,2.5,2.5,3.5,2,4,3.5,4,3.5,1.5,2.5,2.5,4,2,4,3,4,2.773764259,3.5,2.5,4,3,3.5,3,4,3.120481928,3.295,2.5,2.971590909,3,2.5,3.5,3.458333333,3.421875,3.5,3.416666667,2.34375,4,2.858208955,4,3.13
2563,100249268,1.5,3.5,4,0,2.5,2.5,2.95412844,2.507936508,3.60326087,4,3,3,3,1.5,2.5,2.5,3,2.5,1,2.5,2,3,1.5,3.5,3,2,2.773764259,3.5,3,3.5,2.5,2.5,3,3.5,3.120481928,3.295,3,2.971590909,2.5,2,3,3.458333333,3.421875,3.5,3.416666667,2.34375,4,2.858208955,3,2.66
2563,100249276,2,3,3.5,2,3,2.5,2.95412844,2.507936508,3.60326087,4,2.532258065,2,2.5,1.5,3.5,2.5,4,2,2,2,2,3,2,2.5,3,1,2.773764259,2.5,1.5,2.5,2,2,2,2.861111111,3.120481928,3.295,2,2.971590909,1.5,2.5,2,3.458333333,3.421875,3.303571429,4,2.34375,3.5,2.858208955,3,2.52
2563,100249281,1.5,2.5,3.5,1.5,2,2.5,2.5,2.507936508,3.60326087,3.5,2.532258065,3,1.5,1.5,1,1,2,2,1,2,2,2,1,2,2.5,1.5,2.773764259,2.977040816,3,2.5,2,2.680645161,3,2.861111111,3.120481928,2,3,2.971590909,2,2,2.805882353,3.458333333,3.421875,2,2.5,2.34375,3.5,2.858208955,2.5,2.15
2563,100249287,4,4,3,4,4,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,4,3.5,2,4,4,2.5,2.5,2,3,3.5,2,3,2.5,4,2.773764259,3.5,2.5,3.5,1.5,3,2,3,3.120481928,4,2,2.971590909,2.5,2.5,4,3.458333333,3.421875,3.5,3,2.34375,4,2.858208955,3,3.08
2563,100249313,1,2,3.5,1,2,2.5,3,2.507936508,3.60326087,3.844117647,2.532258065,3,3,1,3.5,1.5,2.5,2.5,1,2,2,3,1.5,3,2.5,2.81127451,2.773764259,2,2.5,4,3,2,2.5,2.861111111,3.120481928,3.295,3,4,2.5,2.5,2.5,3.458333333,3.421875,3.303571429,3.5,2.34375,4,2.858208955,3,2.44
2563,100249317,1.5,3.5,3.5,2.5,4,3,2.95412844,2.507936508,3.60326087,4,2.5,3,3.5,1.5,0,2.5,4,2.5,1,1.5,2.5,2.5,2,3.5,4,2.5,2.773764259,2.977040816,2.5,3,2,2,3,2.861111111,3.120481928,4,3,2.971590909,2,2.5,2.805882353,3.458333333,3.421875,3,3.416666667,2.34375,2.5,2.858208955,2.5,2.72
2564,100249331,0,2,4,0,1.5,2.5,3,2.507936508,3.60326087,3.844117647,2.5,2,2,1,2,1,2.5,2.5,1,2,2,2,0,3.5,2,2.81127451,2.773764259,2.977040816,1,2,2,2,2,2.861111111,3.120481928,3.295,2,2.971590909,2,2,2.805882353,3.458333333,3.421875,3,3.416666667,2.34375,3.5,2.858208955,1.5,2.19
2563,100249340,2.5,2,3,0,2,2,2.95412844,2.507936508,3.60326087,4,2.532258065,1.5,2,1,2,3.5,3,2.5,2,2,2,3.5,2,2,2.5,1,2.773764259,2.5,1,2.5,2,2,1.5,2.861111111,3.120481928,3.295,1.5,2.971590909,1.5,2,2,3.458333333,3.421875,3.303571429,3,2.34375,3.5,2.858208955,3,2.34
2563,100249355,1.5,4,4,1.5,4,2.5,3.5,2.507936508,3.60326087,3,2.532258065,4,1.5,2,3.5,2,2.5,4,1.5,4,3,2,2,2.5,3,2.5,2.773764259,3,4,4,4,2.5,4,2.861111111,3.120481928,4,4,2.971590909,2.5,2.5,3.5,3.458333333,3.421875,3.303571429,3,2.34375,4,2.858208955,3,2.81
2563,100249378,1.5,3,4,1,2,2,2.95412844,2.507936508,3.60326087,4,3,2,2,2,4,1.5,2.5,2.5,1,2,2,2.5,2,3.5,2,2.81127451,2.773764259,3.5,2.5,2.5,2.5,3,2,2,3.120481928,3.295,2,2.971590909,3.5,3.5,2.5,3.458333333,3.421875,3.5,3.416666667,2.34375,4,2.858208955,2.5,2.5
2563,100249382,1.5,1.5,3.5,1.5,2,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,2,1.5,1.5,1,2,2,1,1.5,1.5,2,1,2,2,2,2.773764259,2.977040816,1.5,2.5,1.5,2.680645161,2,2.861111111,3.120481928,3.295,2,2.971590909,2,2.5,2.805882353,3.458333333,3,3.5,3.416666667,2.34375,3.5,2.858208955,2.5,2.07
2563,100249400,2.5,4,4,3,4,2.5,2.95412844,2.507936508,3.60326087,4,3,3.5,4,3,4,4,4,3.5,2,2.5,3,4,2,4,2.5,4,2.773764259,4,3,4,3,4,3,4,3.120481928,3.295,3.5,2.971590909,3,3.5,3.5,3.458333333,3.421875,4,3.416666667,2.34375,4,2.858208955,4,3.39
2563,100249405,3,2.5,3.5,2,2.5,2,4,2.507936508,3.60326087,4,2,3,2,1.5,3,2.5,3.5,2.5,1,3,2.5,2.5,2,3,3,2,2.773764259,3.5,3.5,4,3.5,3,3,3,3.120481928,3.295,3,2.971590909,2.5,2,4,3.458333333,3.421875,3.5,3.416666667,2.34375,4,2.858208955,1.5,2.63
2563,100249406,0,3.5,3.5,1,4,2.5,2.95412844,2.507936508,3.60326087,4,2.532258065,2,2.5,2.5,3,2.5,2.5,3.5,1,2,2,3.5,1.5,3,2,3,2.773764259,3.5,3,3,2,2.680645161,2.5,3.5,3.120481928,3.295,2,2.971590909,2.5,2.5,3,3.458333333,3.421875,3.303571429,2.5,2.34375,4,2.858208955,2,2.58
2563,100249415,0,3.5,2,1.5,2,0,2.95412844,2.507936508,3.60326087,3.844117647,2.5,0,2,1.5,1,1,2,2,1.5,1.5,2,1.5,1.5,2.5,3,2.5,2.773764259,3,1.5,2.5,1,2.680645161,2,2.861111111,3.120481928,3.295,0,2.971590909,2,2,2.5,3.458333333,3.421875,3,3.416666667,2.34375,2.5,2.858208955,3,2.1
2563,100249416,0,3.5,4,1.5,4,2.5,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,3,2,3,2.5,3.5,2.5,1,2,2,3,2,2.5,2.5,2.5,2.773764259,3,2.5,3,1.5,2.680645161,2,2.861111111,3.120481928,4,2,2.971590909,3,2.5,3,3.458333333,3.421875,4,3.5,2.34375,4,2.858208955,2.5,2.68
2564,100249419,0,2.5,3.5,1,2,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2,2,1,2,1,3,2,1,2,1.5,1.5,1.5,2,2.5,2.81127451,2.773764259,3.5,2.5,3.5,2.5,2.680645161,2,2.861111111,3.120481928,4,2,2.971590909,3,2,2.5,3.458333333,3.421875,2.5,3,2.34375,2.5,2.858208955,2,2.16
2563,100249428,0,2,4,1,2.5,2.5,2.95412844,2.507936508,3.60326087,3.844117647,3,2.5,2.5,1.5,3,2,2.5,2,0,2.5,2,2,2,2.5,3,2.81127451,2.773764259,2,1.5,3.5,2.5,2,2.5,2.861111111,3.120481928,3.295,2.5,4,1.5,3,3.5,3.458333333,3.421875,3,3.416666667,2.34375,3.5,2.858208955,2.5,2.4
2563,100249434,0,3,3.5,1,3,2,2.95412844,2.507936508,3.60326087,3.844117647,2.532258065,2.5,2.5,2,1,1.5,1.5,2,0,3,2,3,2,3,2.5,1.5,2.773764259,2,2,2.5,3.5,2.680645161,3.5,2.861111111,3.120481928,4,2.5,2.971590909,2,3,2.5,3.458333333,3.421875,4,2.5,2.34375,3,2.858208955,3,2.39
2564,100249457,1.5,2,4,1.5,1,2,2.95412844,2.507936508,3,3.5,2.5,2,1.5,1,1,1,2,2.5,0,2,2,1,1,2.5,2,2.81127451,2.773764259,2.5,1.5,1,1.5,1,2,2,3.120481928,3.295,2,2.971590909,2,2,1,3.458333333,3.421875,3.303571429,3.416666667,2.34375,3,2.858208955,2.5,2.03
2563,100249461,1.5,4,4,1.5,3.5,2,2.95412844,2.507936508,4,3.844117647,2.5,2,2.5,2,4,3,2,2,1,2,2,3.5,2,3,2.5,3,2.773764259,2.5,3,3,3,3.5,2,4,3.120481928,3.295,2,4,2,2,4,3.458333333,3.421875,3,3.416666667,2.34375,4,2.858208955,2.5,2.65
